District in Greater Cairo where you live,Which day of the week (Step III) are you filling the information for?,"How many HOURS did you spend at HOME/DORM today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at HOME/DORM (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at HOME/DORM (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at HOME/DORM (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption for Washing Dishes by hand during the time you spent at HOME/DORM (7.57 liters per min). 
Please insert your answer in real numbers","Water consumption for Washing dishes in a Dish Washing Machine during the time you spent at HOME/DORM (15 liters per load/cycle). 
Please insert your answer in real numbers","Water consumption during Watering Plants during the time you spent at HOME/DORM (can vary widely but try to estimate the average amount of time water is poured).
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at HOME/DORM (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","How many HOURS did you spend at UNIVERSITY today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at THE UNIVERSITY (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at the UNIVERSITY (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at the UNIVERSITY (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at the UNIVERSITY (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","Can you tell us about the type of OTHER PLACES you are filling the information for (restaurent? club? hanging around?, etc.)","How many HOURS did you spend at OTHER PLACES today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at OTHER PLACES (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at OTHER PLACES (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at OTHER PLACES (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at OTHER PLACES (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","Water consumption for Washing Dishes in a Dish Washing Machine during the time you spent at OTHER PLACES (15 liters per load/cycle). 
Please insert your answer in real numbers","Water consumption for Washing Dishes by hand during the time you spent at OTHER PLACES (7.57 liters per min). 
Please insert your answer in real numbers",
"Al-Ma'ādī [Maadi] , المعادي","Wednesday, November 1st 2023",4,20,1.5,0,38,0,0,0.5,4,0,11.35,0,0.6,shopping,4,0,0,0,0.6,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Tuesday, October 31st 2023",5,20,1.5,11.35,0,0,0,0.5,11,0,22.5,3.78,1.2,N/A ,0,0,0,0,0,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Monday, October 30th 2023",4,0,1.5,11.35,37,0,0,0.6,7,0,11.35,3.78,0.6,N/A ,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",13,28.38,1.5,22.7,0,15,0,2.4,11,0,11.35,1.1,0.6,N/A,0,0,0,0,0,0,0,
"Madīnat Sittah Uktūbar [6th of October City] , 6 أكتوبر","Sunday, October 29th 2023",2,75.68,1.512,11.35,0,0,0,0.6,15,0,11.35,3.5,1.2,N/A,0,0,0,0,0,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Wednesday, November 1st 2023",16,0,1.512,34.05,0,0,0,1.2,6,0,22.7,1.134,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",11,10.69,1.52,45.4,0,15,0,1,6,0,11.35,0.3024,0.6,cafe,4,0,0.252,11.35,0.6,0,0,
AUC Dorm,"Monday, October 30th 2023",16,49.82266677,1.575,45.4,11.8596667,0,0,1.5,2,0,0,0,0,I with my friends to King Faisal street to buy a new phone,6,0,0,0,0.75,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Wednesday, November 1st 2023",6,85.14,1.587,45.4,0,0,0,0.6,0,0,0,0,0,Tennis club ,5,0,0,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",13,22,1.625,56.75,7.57,0,0,0.7,4,0,0,0,1,Concord plaza,5,0,0,0,2,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",6,113.2,1.63,34.05,0,0,0,1.8,3,0,0,0,0.6,Cafe,5,0,0,0,0.69,0,0,
AUC Dorm,"Tuesday, October 31st 2023",12.5,88.9,1.7,20.43,0,0,0,0.2,4,0,0,0,0,Aunt's house,7.5,0,1.13,6.8,1,0,0,
"Az-Zamālik [Zamalek] , الزمالك","Wednesday, November 1st 2023",12,151.36,1.764,11.35,0,0,0,0.6,10,0,34.05,2.961,1.2,car,2,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",17,34.2,1.8,11.35,0,15,0,0.83,8,0,11.35,2.1,0.6,N/A,0,0,0,0,0,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Tuesday, October 31st 2023",21,14.19,1.89,22.7,0,0,0,3,0,0,0,0,0,club,3,0,0,11.35,1.2,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",4,141.9,1.89,11.35,0,0,0,0.46,0,0,0,0,0,Grandmother’s house,18,0,9.36,22.7,1.15,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",11.5,61.49,1.89,22.7,0,0,0,0.6,7.5,0,22.7,2.52,1,Mall,5,0,1.26,11.35,1,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",4,23.65,1.89,11.35,0,0,0,3.4,5,0,11.35,3.78,1.5,friends house,2,0,0,0,1,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",1,47.3,1.89,11.35,0,0,0,0.23,4,0,11.35,3.78,0.6,"Shopping  , restaurant, training",7,0,3.78,11.35,0.83,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",11,18.92,1.89,22.7,0,0,0,0.6,10,0,45.4,3.78,1.2,restaurant ,2,0,1.26,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",10,0,1.89,22.7,0,0,0,0.4,9,0,11.35,1.89,1,Gym,2,47.3,0,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",11.1,0,1.89,4,0,0,0,0.23,7.75,0,0,0,0.4,Dancezone and car ,4.25,0,0,0,0.6,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Wednesday, November 1st 2023",6,192.8,1.89,34.05,0,0,0,1.8,3,0,11.35,0.63,0.6,Gym,3,0,0,0,0.6,0,0,
AUC Dorm,"Thursday, November 2nd 2023",5,236.5,1.89,11.35,22.71,0,0,0.6,10,0,34.05,11.34,1.8,Yes,4,0,7.56,11.35,0.3,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",12,0,1.89,22.7,0,0,0,0.83,12,0,34.05,1.26,0.3,restaurant,3,0,0,0,0.2,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Wednesday, November 1st 2023",18.25,0,1.89,22.7,0,0,0,0.6,4.45,0,0,0,0.3,Car,1,0,0,0,0,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Sunday, October 29th 2023",10,151.36,1.89,11,22.7,15,0,0.46,14,0,45.4,5.67,1.2,N/A ,0,0,0,0,0,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Monday, October 30th 2023",13,94.6,1.89,22.7,0,15,0,0.69,11,0,34.05,3.78,1.2,N/A ,0,0,0,0,0,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Wednesday, November 1st 2023",12,113.52,1.89,22.7,0,0,0,0.46,12,0,22.7,1.89,1.2,N/A ,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",0.3,47.3,1.89,11.35,0,0,0,0,15,0,79.45,13.23,4.2,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",0.3,51.7,1.89,11.35,0,0,0,0.23,12,0,68.1,11.34,3.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",9,0,1.89,22.7,0,0,0,1.2,7,0,11.35,3.78,1.8,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",9,0,1.89,22.7,0,0,0,0,14,0,34.05,3.78,1.2,n/a,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",6,94.6,1.89,45.4,0,0,0,1.2,10,0,0,1.89,1.2,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",15,47.3,1.89,22.7,0,0,0,1,9,18.92,11.35,1.26,1.2,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",14,47.3,1.89,22.7,0,0,0,1.2,10,18.92,11.35,0.9,1.2,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",12,47.3,1.89,22.7,0,0,0,1,12,28.38,11.35,1,1,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",20,18.92,1.89,45.4,0,0,0,4.8,4,0,11.35,3.78,0.6,N/A,0,0,0,0,0,0,0,
"Ash-Shurūq , الشروق","Thursday, November 2nd 2023",17,122.98,1.89,22.7,0,15,0,0.83,5.25,0,11.35,2.142,0.6,N/A,0,0,0,0,0,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Thursday, November 2nd 2023",4,47.3,1.89,0,0,0,0,0.6,10,0,11.35,1.512,0.6,N/A,0,0,0,0,0,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Sunday, October 29th 2023",8,94.6,1.89,34.05,0,0,0,1.8,5,0,22.7,1.26,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",17,94.6,1.89,34.05,0,15,0,0.6,7,0,0,0.64,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",21,75.68,1.89,34.05,0,0,0,1.6,3,28.38,0,0,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",9,0,1.89,11.35,0,0,0,0.3,4,0,11.35,1.89,0.23,N/A,0,0,0,0,0,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Tuesday, October 31st 2023",24,11,1.89,22.7,0,0,0,1.2,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",15,340.56,1.89,22.7,0,0,0,0.75,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
AUC Dorm,"Sunday, October 29th 2023",18,0,1.89,22.7,0,0,0,0.35,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",5,94.6,1.89,22.7,0,0,0,0.69,7,0,11.35,0.63,1.2,hanging around ,0,0,0,0,0,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Monday, October 30th 2023",15,94.6,1.89,22.7,0,0,0,0.6,7.5,0,11.35,0.945,0.6,did not go out,0,0,0,0,0,0,0,
"Madīnat Sittah Uktūbar [6th of October City] , 6 أكتوبر","Sunday, October 29th 2023",12,19,1.89,11.35,0,15,4,0.23,12,0,0,0,1,0,0,0,0,0,0,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Tuesday, October 31st 2023",8,113.52,1.9,22.7,0,0,0,0.46,0,0,0,0,0,"club, gymnastics hall ",4.5,0,0,0,0.9,0,0,
"Ad-Duqqī , الدقي","Tuesday, October 31st 2023",12,69.4,1.9,22.7,0,0,0,1.2,2,0,11.35,6.05,1.8,Mall,5,0,0.9,11.35,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",13,75.68,1.9,34.05,0,0,0,1.8,10,0,22.7,5.76,1.8,N/A,0,0,0,0,0,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Monday, October 30th 2023",3,0,2,22.7,0,0,0,0.23,6,0,11.35,0.95,0.6,"club, gymnastics hall",4,0,0.95,0,1.2,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",16,113.52,2,22.7,0,0,0,0.7,8,0,22.7,0.945,0.4,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",15,12,2,3,0,0,0,2,9,0,4,5,4,0,0,0,0,0,0,0,0,
"Ash-Shurūq , الشروق","Monday, October 30th 2023",17,189.2,2.016,34.05,0,15,0,0.46,5,0,22.7,1.386,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",17,19.24,2.02,45.4,0,0,0,3.4,3,0,0,0,0,Car,0,0,0,0,0,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Monday, October 30th 2023",6,0,2.117,34.05,0,15,0,0.6,0,0,0,0,0,Airport ,4,0,0,0,0.6,0,0,
"Madīnat Sittah Uktūbar [6th of October City] , 6 أكتوبر","Thursday, November 2nd 2023",12,0,2.2,11.35,0,0,0,2.4,8,0,0,2,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",12.5,104.06,2.205,34.05,0,0,0,1.5,11.5,0,34.05,2.835,1.8,N/A,0,0,0,0,0,0,0,
AUC Dorm,"Thursday, November 2nd 2023",4,0,2.23,11.35,0.99,0,0,0.6,8,0,11.35,1.2,0.83,Cafe,1.5,0,0,0,0.6,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Monday, October 30th 2023",3,52.03,2.268,11.35,0,0,0,0.6,4.5,0,0,0,1,Gym and mall,5,0,1.512,0,1.2,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Tuesday, October 31st 2023",18,0,2.268,45.4,0,0,0,0.6,6,0,0,0,0,N/A,0,0,0,0,0,0,0,
AUC Dorm,"Thursday, November 2nd 2023",14.28,0,2.331,34.05,0,0,0,0,5.67,0,0,0,0.6,Hanging out,4,0,0,0,0,0,0,
"Ad-Duqqī , الدقي","Thursday, November 2nd 2023",16,0,2.4,22.7,0,15,0,1.38,6,0,11.35,1.47,1.2,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",4,123,2.457,34,0,0,0,1.2,12,0,0,0.819,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",14.5,72.53,2.46,34.05,0,0,0,0.69,8.5,0,22.7,5.23,0,Food Kiosk ,0.5,0,0,0,0,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Monday, October 30th 2023",2,47.3,2.52,22.7,0,0,0,0.3,11,0,0,6.3,1.2,Hanging Out,4,0,1.26,0,0.6,0,11.23,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",12,75.68,2.52,11.35,0,0,0,0,11,0,0,0,1.2,Restaurant ,1,0,0,0,1.035,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Wednesday, November 1st 2023",1,47.3,2.52,11.35,0,0,0,0.46,6,0,11.35,1.26,0.6,Hanging Out,5,0,0,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",15,0,2.52,22.7,0,0,0,0.46,0,0,0,0,0,Cousin's house ,6,0,1.89,22.7,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",19,37.84,2.52,68.1,0,0,0,0.46,3,0,11.35,0.63,0,"yoga class, grocery shopping",0,0,0,0,0,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Thursday, November 2nd 2023",6,47.3,2.52,22.7,0,0,0,0.3,11,0,0,6.3,1.8,N/A,0,0,0,0,0,0,0,
"Al-Muqaṭṭam , المقطم","Wednesday, November 1st 2023",16,283.8,2.52,34.05,0,15,0,0.6,8,0,22.7,1.89,0.46,N/A,0,0,0,0,0,0,0,
"Ash-Shurūq , الشروق","Tuesday, October 31st 2023",10,155,2.54,45.4,0,0,0,0.46,0,0,0,0,0,friends house,6,0,0.46,11.35,0.23,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",2.5,0,2.555973,22.7,0,0,0,0,13,0,22.7,2.219868,1.7,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",16,41.6,2.56,22.7,0,15,0,2.2,8,0,11.35,0.8,0.6,N/A,0,0,0,0,0,0,0,
"Qaṣr an-Nīl , قصر النيل","Wednesday, November 1st 2023",4,62.87,2.68,11.35,0,0,0,0.6,11,0,22.7,1.96,1.8,Cafe,3,0,0.76,11.35,1.2,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",5,47.3,2.75,22.7,0,0,0,0.23,9,0,22.7,3.2,1.8,N/A,0,0,0,0,0,0,0,
"Madīnat Sittah Uktūbar [6th of October City] , 6 أكتوبر","Wednesday, November 1st 2023",14,18.92,2.78,22.7,0,15,4,1,10,0,11.35,1.89,1,0,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",14,0,2.835,11.35,0,0,0,0,6.5,0,0,0,0.4,Cafe,3.5,0,0,0,1.073,0,0,
AUC Dorm,"Monday, October 30th 2023",4,94.6,2.835,11.35,0,0,0,0.6,6,0,11.35,1.89,0.33,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",19,33.1,2.835,56.75,0,0,0,0.46,5,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Qaṣr an-Nīl , قصر النيل","Monday, October 30th 2023",3,30.67,2.87,22.7,0,0,0,1.8,0,0,0,0,0,Work/Office-MAD Solutions,9,0,1.87,11.35,0.6,0,0,
"Ad-Duqqī , الدقي","Monday, October 30th 2023",13,79.09,2.95,22.7,0,0,0,0.92,8,0,11.35,3.97,1.8,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",18,0,2.961,56.75,0,0,0,0.46,2.5,0,0,0,0,Shopping,3.5,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",16,9,3,2,0,0,0,2,0,0,0,0,0,Grandma’s house,8,0,3,3,4,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",13,130,3,11,0,0,0,0,8,0,11,4,2,Autovroom,3,0,4,11,2,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",17.5,85.1,3.02,45.4,0,15,0,2.4,6.5,0,11.35,1.89,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",17,0,3.024,34.05,0,15,0,1.8,1,0,0,0,0,Mall,6,0,0.756,11.35,0.6,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Thursday, November 2nd 2023",6,75.68,3.024,34.05,0,0,0,0.6,0,0,0,0,0,Tennis club,5,0,0.529,11.35,0.6,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Wednesday, November 1st 2023",12,37.84,3.024,22.7,0,0,0,1.1,12,0,0,0.9,1.3,N/A,0,0,0,0,0,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Wednesday, November 1st 2023",12,37.84,3.024,22.7,0,0,0,1.1,12,0,0,1.4,0.7,N/A,0,0,0,0,0,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Tuesday, October 31st 2023",20,94.6,3.15,45.4,0,0,0,1.2,0,0,0,0,0,Restaurant,4,0,0,0,0.6,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Sunday, October 29th 2023",13,151.36,3.15,34.05,37.85,0,0,2,8,0,34.05,2.52,1.2,club,3,0,1.26,11.35,0.23,0,0,
"Al-Ahrām , الأهرام","Monday, October 30th 2023",10,47.3,3.15,34.5,0,0,0,1.9,12,0,22.7,2.52,2.1,N/A,0,0,0,0,0,0,0,
"Al-Ahrām , الأهرام","Tuesday, October 31st 2023",15,56.76,3.15,22.7,0,0,0,2.7,7,0,11.35,2.52,1.4,N/A,0,0,0,0,0,0,0,
"Al-Ahrām , الأهرام","Wednesday, November 1st 2023",15,56.76,3.15,22.7,0,0,0,1.8,7,0,11.35,2.52,1.4,N/A,0,0,0,0,0,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Wednesday, November 1st 2023",16,179.74,3.15,56.75,45.42,0,0,1.6,10,0,45.4,3.78,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",12,94.6,3.15,45.4,0,0,0,2.23,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",9,208.12,3.2,34.05,0,0,0,0.92,0,0,0,0,0,Mall,2,0,0,0,0.23,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",8,0,3.213,113.52,0,0,0,1.2,8,0,0,1,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",4,113.52,3.23,22.7,0,0,0,1.2,1.5,0,0,0,0.6,Friends house,2,0,0,0,0.46,0,0,
AUC Dorm,"Tuesday, October 31st 2023",4,0,3.23,11.35,3.43,0,0,0.75,8,0,22.7,3.78,0.83,Bakery,4,0,0.98,0,0.4,0,0,
"Al-'Ubūr [El Ubour] , العبور","Thursday, November 2nd 2023",4,114.78,3.276,22.7,0,0,0,0.5,12,0,68.1,11.34,1.5,N/A,0,0,0,0,0,0,0,
AUC Dorm,"Wednesday, November 1st 2023",17,48.7190001,3.276,68.1,20.18666672,0,0,1.5,7,0,0,0,0,N/A,0,0,0,0,0,0,0,
AUC Dorm,"Tuesday, October 31st 2023",24,55.97166679,3.276,56.75,16.40166671,0,0,2.25,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
AUC Dorm,"Thursday, November 2nd 2023",8.5,94.84,3.33,11.35,2.94,0,0,0.3,6,0,0,0,0,arcade game place,12,0,0,0,0,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Thursday, November 2nd 2023",3,0,3.339,34.05,0,0,0,1.2,7,0,22.7,2.646,0.6,friend's house,6,0,2.898,22.7,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",11,113.52,3.339,34.05,0,0,0,2,9,0,11.35,0.945,1.5,Hanging around,4,0,1.26,11.35,0.6,0,0,
AUC Dorm,"Thursday, November 2nd 2023",13.5,0,3.4,56.75,15.52,0,0,0.6,4.5,0,11.35,0.57,1.2,"Friends house, mall, paddle court ",7,0,0,0,0.23,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Thursday, November 2nd 2023",10,134.805,3.4065,1.32795,37.85,0,1,0.611,6,0,2.27,1.448874,0.6,Hanging around at my grandma's house,0,0,1.57500126,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",20.5,71.896,3.465,68.1,30.28,0,0,0.69,2.5,0,0,0,0,grocery shopping,1,0,0,0,0,0,0,
AUC Dorm,"Thursday, November 2nd 2023",21,47.93066677,3.528,45.4,24.98100007,0,0,2.25,3,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",9,0,3.591,22.7,0,15,0,0.6,7,0,11.35,3.78,0.6,N/A,0,0,0,0,0,0,0,
"Ad-Duqqī , الدقي","Wednesday, November 1st 2023",14,124.9,3.6,34.05,0,0,0,1.15,6,0,11.35,3.93,1.8,Gym,2,0,0.45,11.35,1.5,0,0,
AUC Dorm,"Sunday, October 29th 2023",15,43.5,3.717,22.7,20.18666672,0,0,2.25,9,0,0,1.26,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",15,0,3.78,45.4,0,15,3,1.8,0,0,0,0,0,my grandmother's house,6,0,7.56,22.7,0.69,15,3.785,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",4,23.65,3.78,11.35,0,0,0,3.2,6,28.38,11.35,3.78,4,GoKarting,2,0,1.5,0,1.5,0,3.78,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Thursday, November 2nd 2023",1,160.82,3.78,11.35,0,0,0,0,8,0,22.7,7.56,4,hanging around,13,0,11.34,11.35,3,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",5,47.3,3.78,22.7,0,0,0,0.6,0,0,0,0,0,"Restaurant,Halloween event ",7,0,3.78,11.35,2.4,0,0,
